Function,Subcategory,Requirement (abbreviated),Score (0-3),Evidence Cited,Target Score,Gap,Business Risk if Unaddressed,Remediation,Owner,Effort (S/M/L)
GOVERN,GOVERN 1.1,Legal and regulatory requirements involving AI understood and documented,,,,,,,,
GOVERN,GOVERN 1.2,Trustworthy AI characteristics integrated into policies,,,,,,,,
GOVERN,GOVERN 1.6,Mechanisms in place to inventory AI systems,,,,,,,,
GOVERN,GOVERN 1.7,Processes for decommissioning AI systems safely,,,,,,,,
GOVERN,GOVERN 2.1,Roles and responsibilities documented and clear,,,,,,,,
GOVERN,GOVERN 2.2,Personnel receive AI risk management training,,,,,,,,
GOVERN,GOVERN 2.3,Executive leadership takes responsibility for AI risk decisions,,,,,,,,
GOVERN,GOVERN 6.1,Policies address third-party AI risk,,,,,,,,
MAP,MAP 1.1,Intended purpose and context documented per system,,,,,,,,
MAP,MAP 1.5,Organisational risk tolerances determined,,,,,,,,
MAP,MAP 2.3,Scientific integrity and TEVV considerations identified,,,,,,,,
MEASURE,MEASURE 1.1,Approaches and metrics for measurement identified,,,,,,,,
MEASURE,MEASURE 1.3,Independent internal review of measurement,,,,,,,,
MANAGE,MANAGE 1.2,Treatment of documented AI risks is prioritised,,,,,,,,
MANAGE,MANAGE 1.4,Negative residual risks documented and accepted,,,,,,,,
MANAGE,MANAGE 4.1,Post-deployment monitoring planned and implemented,,,,,,,,
