Risk ID,Risk Statement (cause -> event -> consequence),Risk Category,Source (which lab),Inherent Likelihood (1-5),Inherent Impact (1-5),Inherent Score,Existing Controls,Planned Controls,Residual Likelihood,Residual Impact,Residual Score,Residual Band,Treatment (Treat/Tolerate/Transfer/Terminate),Owner (role),Target Date
R-01,,,,,,,,,,,,,,,
R-02,,,,,,,,,,,,,,,
R-03,,,,,,,,,,,,,,,
R-04,,,,,,,,,,,,,,,
R-05,,,,,,,,,,,,,,,
R-06,,,,,,,,,,,,,,,
R-07,,,,,,,,,,,,,,,
R-08,,,,,,,,,,,,,,,
R-09,,,,,,,,,,,,,,,
R-10,,,,,,,,,,,,,,,
R-11,,,,,,,,,,,,,,,
R-12,,,,,,,,,,,,,,,
